x y u_11 u_12 u_13 u_21 u_22 u_23 u_31 u_32 u_33
122 24 0.929245 0.349383 -0.120145 -0.303709 0.907527 0.290096 0.210389 -0.233085 0.949424
24 54 -0.127689 -0.104954 -0.986245 0.43218 -0.900902 0.039919 -0.892703 -0.421138 0.160396
167 17 0.648461 -0.706415 0.283682 -0.416199 -0.016955 0.909119 -0.637421 -0.707574 -0.305004
117 134 -0.126239 -0.098104 -0.987136 -0.464793 -0.873263 0.146222 -0.876376 0.47727 0.064642
153 71 -0.295558 0.811029 -0.504852 -0.951148 -0.200443 0.234835 0.089265 0.549599 0.830642
132 16 0.434857 0.110818 -0.893656 0.78129 0.447026 0.435609 0.447769 -0.887624 0.107808
198 144 -0.670681 0.531351 -0.517551 0.495475 -0.19832 -0.845673 -0.551997 -0.823612 -0.130267
180 187 0.715316 0.572644 -0.400512 -0.541995 0.092848 -0.835239 -0.441106 0.814524 0.376782
7 143 0.398525 -0.094681 0.912256 -0.864726 -0.370284 0.339328 0.305666 -0.92408 -0.229437
24 43 0.512089 0.832895 -0.209884 -0.300134 -0.055439 -0.95228 -0.804791 0.550651 0.221595
210 118 0.414585 0.110632 -0.903261 0.792462 -0.531847 0.298563 -0.447377 -0.839578 -0.308166
79 115 -0.920131 -0.320737 -0.224697 0.221103 0.048094 -0.974064 0.323225 -0.945946 0.026662
126 141 0.346085 -0.083486 -0.934475 0.780935 -0.526397 0.336242 -0.519974 -0.846134 -0.116979
42 128 -0.298569 -0.952754 0.055949 -0.140223 0.101779 0.98486 -0.944037 0.286217 -0.163982
108 60 0.150625 -0.985335 -0.080173 -0.234307 -0.114372 0.96541 -0.960424 -0.126632 -0.248097
8 111 0.512182 0.837101 -0.192178 -0.091432 -0.169344 -0.9813 -0.854 0.520186 -0.010191
165 126 -0.494928 -0.851718 -0.172109 0.463004 -0.090887 -0.88168 0.73531 -0.516059 0.43933
191 36 -0.024921 0.997387 -0.067822 -0.976352 -0.00971 0.215972 0.214749 0.0716 0.97404
118 104 -0.880149 -0.258298 -0.39827 0.43834 -0.120215 -0.890734 0.182197 -0.958556 0.21903
54 180 -0.280633 0.896159 -0.343731 -0.895634 -0.115734 0.42947 0.345101 0.428376 0.835101
50 163 0.994612 -0.053745 -0.088649 0.038766 0.985904 -0.162771 0.096147 0.158456 0.982672
183 90 0.759408 0.641222 0.110181 -0.615424 0.762893 -0.198103 -0.211086 0.082626 0.973967
97 166 0.746399 -0.619624 -0.242803 0.407547 0.137143 0.90282 -0.526115 -0.77283 0.354895
120 86 -0.368494 0.541482 -0.755651 -0.081337 -0.828516 -0.554027 -0.926066 -0.142692 0.349344
71 12 -0.157427 0.964908 0.210164 -0.981958 -0.130374 -0.136971 -0.104763 -0.22794 0.968023
7 114 0.512608 0.836866 -0.192065 -0.091588 -0.169124 -0.981325 -0.853726 0.520634 -0.010041
134 60 -0.13148 0.98746 -0.087402 -0.552672 0.000171 0.833398 0.822963 0.157878 0.545715
60 65 0.469646 -0.616382 0.632063 0.87304 0.21779 -0.436314 0.13128 0.75673 0.640411
96 82 0.93911 0.126432 0.319509 -0.275528 0.832685 0.480332 -0.205322 -0.53912 0.81682
117 30 0.930199 0.116942 0.347935 -0.302956 -0.290614 0.907611 0.207255 -0.949667 -0.234898
96 171 0.778988 -0.553883 0.293935 -0.243043 0.165415 0.955806 -0.578025 -0.815996 -0.005765
158 83 0.433041 -0.508055 -0.744546 0.852788 -0.036612 0.520972 -0.291948 -0.860547 0.417411
79 201 -0.804084 0.491122 0.335027 -0.324322 -0.834661 0.445151 0.498267 0.249282 0.830416
50 33 0.436633 0.801794 -0.407997 -0.140595 -0.387134 -0.911241 -0.888601 0.455232 -0.056301
105 26 -0.146967 0.943464 0.297107 -0.361453 0.228379 -0.903987 -0.920741 -0.240246 0.307447
39 133 -0.2986 -0.052234 -0.952941 -0.137502 -0.985733 0.097117 -0.944425 0.160024 0.287155
100 13 0.953155 0.008688 0.302364 -0.012498 0.999865 0.010677 -0.302235 -0.013963 0.95313
49 146 -0.207043 -0.943499 0.258736 -0.322982 0.315555 0.892248 -0.923481 0.101168 -0.370066
86 65 0.164787 0.377504 -0.911219 0.969788 -0.23051 0.079881 -0.179887 -0.896865 -0.404084
167 62 0.422455 0.88277 -0.205576 -0.17977 -0.140704 -0.973587 -0.88838 0.448254 0.099252
64 181 0.342562 -0.897318 0.27834 -0.428859 0.114258 0.896112 -0.835911 -0.42634 -0.345677
87 41 0.398525 0.818894 -0.413029 -0.679622 0.566065 0.466556 0.615869 0.09477 0.782132
92 18 0.162289 0.343638 -0.924969 -0.4692 -0.79777 -0.378702 -0.868054 0.49546 0.031771
56 47 -0.613163 0.761044 -0.211829 0.319055 -0.006746 -0.947707 -0.722684 -0.648656 -0.238653
76 41 0.167564 0.39841 0.901772 0.308499 0.847565 -0.431781 -0.936357 0.350568 0.019097
154 76 -0.295174 0.811029 -0.505076 -0.951305 -0.200315 0.234311 0.08886 0.549647 0.830654
70 185 0.779471 -0.555123 0.290322 -0.236122 0.16891 0.956917 -0.580241 -0.814446 0.000591
127 94 0.542417 0.754639 0.369191 -0.828071 0.554385 0.083412 -0.141729 -0.350962 0.925601
201 98 -0.90186 0.109067 -0.418036 0.301615 -0.533847 -0.789959 -0.309327 -0.838519 0.448554
75 213 0.550829 -0.256713 -0.794161 0.833767 0.12607 0.537536 -0.037872 -0.958225 0.283479
21 127 0.315364 -0.30555 -0.898435 -0.057456 -0.951158 0.303309 -0.947231 -0.04404 -0.317513
40 76 0.141841 0.292977 -0.945531 0.989895 -0.040183 0.136044 0.001856 -0.955276 -0.295712
59 31 0.490472 -0.367932 -0.789977 0.784363 -0.208642 0.584161 -0.379755 -0.906142 0.186258
176 131 -0.816402 0.540051 -0.204549 -0.040774 -0.407221 -0.912415 -0.576047 -0.736556 0.354478
71 8 -0.156943 0.965027 0.209983 -0.982053 -0.129967 -0.136683 -0.104608 -0.227675 0.968101
